Religious Affiliation,Female
Aglipay,"371,458"
Bible Baptist Church,"279,151"
Evangelicals (Philippine Council of Evangelical Churches),"1,217,415"
Iglesia ni Cristo,"1,314,208"
Islam,"3,038,592"
Jehovah’s Witness,"229,432"
Jesus is Lord Church,"224,754"
National Council of Churches in the Philippines,"563,696"
Seventh Day Adventist,"398,560"
United Church of Christ in the Philippines,"205,964"
Other Baptists,"219,169"
Other Protestants,"234,800"
Other Religious Affiliations,"926,756"
