Religious Affiliation,Male,,
Aglipay,"384,767",,
Bible Baptist Church,"274,639",,
Evangelicals (Philippine Council of Evangelical Churches),"1,227,698",,
Iglesia ni Cristo,"1,350,290",,
Islam,"3,026,152",,
Jehovah’s Witness,"208,716",,
Jesus is Lord Church,"211,097",,
National Council of Churches in the Philippines,"583,258",,
Seventh Day Adventist,"392,992",,
United Church of Christ in the Philippines,"213,053",,
Other Baptists,"215,238",,
Other Protestants,"232,569",,
Other Religious Affiliations,"913,180",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
